Make;Model;Displ;Cyl;Trans;Drive;Fuel;Year
ASTON MARTIN;V8 Vantage;2.4;4;AutoMan-8;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;3.5;6;SemiAuto-6;4WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;3.5;6;AutoMan-7;4WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;3.5;6;SemiAuto-6;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;2.4;4;AMS-8;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;3.5;6;SemiAuto-9;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;3.5;6;SemiAuto-9;4WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;1.8;4;AutoMan-6;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;5.9;12;SemiAuto-6;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;6;12;SemiAuto-8;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;6;12;AutoMan-7;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;4.7;8;AutoMan-7;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage;4.7;8;Man-6;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage S;4.7;8;AutoMan-7;2WD;Gasoline;2016
ASTON MARTIN;V8 Vantage S;4.7;8;Man-6;2WD;Gasoline;2016
ASTON MARTIN;Vanquish;6;12;SemiAuto-8;2WD;Gasoline;2016
ASTON MARTIN;Vantage GT;4.7;8;AutoMan-7;2WD;Gasoline;2016
ASTON MARTIN;Vantage GT;4.7;8;Man-6;2WD;Gasoline;2016
AUDI;A3;1.8;4;AMS-6;2WD;Gasoline;2016
AUDI;A3;2;4;AMS-6;4WD;Gasoline;2016
AUDI;A3 Cabriolet;1.8;4;AMS-6;2WD;Gasoline;2016
AUDI;A3 Cabriolet;2;4;AMS-6;4WD;Gasoline;2016
AUDI;A3 e-tron;1.4;4;AMS-6;2WD;Gasoline/Electricity;2016
AUDI;A3 e-tron ultra;1.4;4;AMS-6;2WD;Gasoline/Electricity;2016
AUDI;A4;2;4;Man-6;4WD;Gasoline;2016
AUDI;A4;2;4;SCV-8;2WD;Gasoline;2016
AUDI;A4;2;4;SemiAuto-8;4WD;Ethanol/Gas;2016
AUDI;A5;2;4;Man-6;4WD;Gasoline;2016
AUDI;A5;2;4;SemiAuto-8;4WD;Ethanol/Gas;2016
AUDI;A5 Cabriolet;2;4;SemiAuto-8;4WD;Ethanol/Gas;2016
AUDI;A6;2;4;AMS-7;2WD;Gasoline;2016
AUDI;A6;2;4;SemiAuto-8;4WD;Gasoline;2016
AUDI;A6;3;6;SemiAuto-8;4WD;Diesel;2016
AUDI;A6;3;6;SemiAuto-8;4WD;Gasoline;2016
AUDI;A7;3;6;SemiAuto-8;4WD;Diesel;2016
AUDI;A7;3;6;SemiAuto-8;4WD;Gasoline;2016
AUDI;A8 L;3;6;SemiAuto-8;4WD;Diesel;2016
AUDI;A8 L;3;6;SemiAuto-8;4WD;Gasoline;2016
AUDI;A8 L;4;8;SemiAuto-8;4WD;Gasoline;2016
AUDI;A8 L;6.3;12;SemiAuto-8;4WD;Gasoline;2016
AUDI;Q3;2;4;SemiAuto-6;2WD;Gasoline;2016
AUDI;Q3;2;4;SemiAuto-6;4WD;Gasoline;2016
AUDI;Q5;2;4;SemiAuto-8;4WD;Ethanol/Gas;2016
AUDI;Q5;3;6;SemiAuto-8;4WD;Diesel;2016
AUDI;Q5;3;6;SemiAuto-8;4WD;Gasoline;2016
AUDI;Q5 Hybrid;2;4;SemiAuto-8;4WD;Gasoline;2016
AUDI;RS7;4;8;SemiAuto-8;4WD;Gasoline;2016
AUDI;S3;2;4;AMS-6;4WD;Gasoline;2016
AUDI;S4;3;6;AMS-7;4WD;Gasoline;2016
AUDI;S4;3;6;Man-6;4WD;Gasoline;2016
AUDI;S5;3;6;AMS-7;4WD;Gasoline;2016
AUDI;S5;3;6;Man-6;4WD;Gasoline;2016
AUDI;S5 Cabriolet;3;6;AMS-7;4WD;Gasoline;2016
AUDI;S6;4;8;AMS-7;4WD;Gasoline;2016
AUDI;S7;4;8;AMS-7;4WD;Gasoline;2016
AUDI;S8;4;8;SemiAuto-8;4WD;Gasoline;2016
AUDI;SQ5;3;6;SemiAuto-8;4WD;Gasoline;2016
AUDI;TT Coupe;2;4;AMS-6;4WD;Gasoline;2016
AUDI;TT Roadster;2;4;AMS-6;4WD;Gasoline;2016
AUDI;TTS Coupe;2;4;AMS-6;4WD;Gasoline;2016
AUDI;allroad quattro;2;4;SemiAuto-8;4WD;Ethanol/Gas;2016
BENTLEY;Continental GT;4;8;SemiAuto-8;4WD;Gasoline;2016
BENTLEY;Continental GT;6;12;SemiAuto-8;4WD;Gasoline;2016
BENTLEY;Continental GT Convertible;4;8;SemiAuto-8;4WD;Gasoline;2016
BENTLEY;Continental GT Convertible;6;12;SemiAuto-8;4WD;Gasoline;2016
BENTLEY;Flying Spur;4;8;SemiAuto-8;4WD;Gasoline;2016
BENTLEY;Flying Spur;6;12;SemiAuto-8;4WD;Gasoline;2016
BENTLEY;Mulsanne;6.8;8;SemiAuto-8;2WD;Gasoline;2016
BMW;228i;2;4;Man-6;2WD;Gasoline;2016
BMW;228i;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;228i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;228i Convertible;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;228i Convertible;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;320i;2;4;Man-6;2WD;Gasoline;2016
BMW;320i;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;320i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;328d;2;4;SemiAuto-8;2WD;Diesel;2016
BMW;328d;2;4;SemiAuto-8;4WD;Diesel;2016
BMW;328d Sports Wagon;2;4;SemiAuto-8;4WD;Diesel;2016
BMW;328i;2;4;Man-6;2WD;Gasoline;2016
BMW;328i;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;328i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;328i Gran Turismo;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;328i Sports Wagon;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;330e;2;4;SemiAuto-8;2WD;Gasoline/Electricity;2016
BMW;335i Gran Turismo;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;340i;3;6;Man-6;2WD;Gasoline;2016
BMW;340i;3;6;Man-6;4WD;Gasoline;2016
BMW;340i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;340i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;428i Convertible;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;428i Convertible;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;428i Coupe;2;4;Man-6;2WD;Gasoline;2016
BMW;428i Coupe;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;428i Coupe;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;428i Gran Coupe;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;428i Gran Coupe;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;435i Convertible;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;435i Convertible;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;435i Coupe;3;6;Man-6;2WD;Gasoline;2016
BMW;435i Coupe;3;6;Man-6;4WD;Gasoline;2016
BMW;435i Coupe;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;435i Coupe;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;435i Gran Coupe;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;435i Gran Coupe;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;528i;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;528i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;535d;3;6;SemiAuto-8;2WD;Diesel;2016
BMW;535d;3;6;SemiAuto-8;4WD;Diesel;2016
BMW;535i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;535i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;535i Gran Turismo;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;535i Gran Turismo;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;550i;4.4;8;SemiAuto-8;2WD;Gasoline;2016
BMW;550i;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;640i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;640i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;640i Convertible;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;640i Convertible;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;640i Gran Coupe;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;640i Gran Coupe;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;650i;4.4;8;SemiAuto-8;2WD;Gasoline;2016
BMW;650i;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;650i Convertible;4.4;8;SemiAuto-8;2WD;Gasoline;2016
BMW;650i Convertible;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;650i Gran Coupe;4.4;8;SemiAuto-8;2WD;Gasoline;2016
BMW;650i Gran Coupe;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;740i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;750i;4.4;8;SemiAuto-8;2WD;Gasoline;2016
BMW;750i;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;ActiveHybrid 5;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;Alpina B6 Gran Coupe;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;M2;3;6;AMS-7;2WD;Gasoline;2016
BMW;M2;3;6;Man-6;2WD;Gasoline;2016
BMW;M235i;3;6;Man-6;2WD;Gasoline;2016
BMW;M235i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;M235i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;M235i Convertible;3;6;Man-6;2WD;Gasoline;2016
BMW;M235i Convertible;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;M235i Convertible;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;M3;3;6;AMS-7;2WD;Gasoline;2016
BMW;M3;3;6;Man-6;2WD;Gasoline;2016
BMW;M4 Convertible;3;6;AMS-7;2WD;Gasoline;2016
BMW;M4 Convertible;3;6;Man-6;2WD;Gasoline;2016
BMW;M4 Coupe;3;6;AMS-7;2WD;Gasoline;2016
BMW;M4 Coupe;3;6;Man-6;2WD;Gasoline;2016
BMW;M4 GTS;3;6;AMS-7;2WD;Gasoline;2016
BMW;M5;4.4;8;AMS-7;2WD;Gasoline;2016
BMW;M5;4.4;8;Man-6;2WD;Gasoline;2016
BMW;M6 Convertible;4.4;8;AMS-7;2WD;Gasoline;2016
BMW;M6 Convertible;4.4;8;Man-6;2WD;Gasoline;2016
BMW;M6 Coupe;4.4;8;AMS-7;2WD;Gasoline;2016
BMW;M6 Coupe;4.4;8;Man-6;2WD;Gasoline;2016
BMW;M6 Gran Coupe;4.4;8;AMS-7;2WD;Gasoline;2016
BMW;M6 Gran Coupe;4.4;8;Man-6;2WD;Gasoline;2016
BMW;X1 xDrive28i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;X3 sDrive28i;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;X3 xDrive28d;2;4;SemiAuto-8;4WD;Diesel;2016
BMW;X3 xDrive28i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;X3 xDrive35i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;X4 M40i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;X4 xDrive28i;2;4;SemiAuto-8;4WD;Gasoline;2016
BMW;X4 xDrive35i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;X5 M;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;X5 sDrive35i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;X5 xDrive35d;3;6;SemiAuto-8;4WD;Diesel;2016
BMW;X5 xDrive35i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;X5 xDrive40e;2;4;SemiAuto-8;4WD;Gasoline/Electricity;2016
BMW;X5 xDrive50i;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;X6 M;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;X6 sDrive35i;3;6;SemiAuto-8;2WD;Gasoline;2016
BMW;X6 xDrive35i;3;6;SemiAuto-8;4WD;Gasoline;2016
BMW;X6 xDrive50i;4.4;8;SemiAuto-8;4WD;Gasoline;2016
BMW;Z4;2;4;Man-6;2WD;Gasoline;2016
BMW;Z4;2;4;SemiAuto-8;2WD;Gasoline;2016
BMW;Z4;3;6;AMS-7;2WD;Gasoline;2016
BMW;i3 BEV;N/A;N/A;Auto-1;2WD;Electricity;2016
BMW;i3 REx;.6;2;Auto-1;2WD;Gasoline/Electricity;2016
BMW;i8;1.5;3;Auto-6;4WD;Gasoline/Electricity;2016
BUICK;Cascada;1.6;4;SemiAuto-6;2WD;Gasoline;2016
BUICK;Enclave;3.6;6;Auto-6;2WD;Gasoline;2016
BUICK;Enclave;3.6;6;Auto-6;4WD;Gasoline;2016
BUICK;Encore;1.4;4;SemiAuto-6;2WD;Gasoline;2016
BUICK;Encore;1.4;4;SemiAuto-6;4WD;Gasoline;2016
BUICK;Envision;2;4;Auto-6;4WD;Gasoline;2016
BUICK;Lacrosse;2.4;4;SemiAuto-6;2WD;Gasoline;2016
BUICK;Lacrosse;3.6;6;SemiAuto-6;2WD;Ethanol/Gas;2016
BUICK;Lacrosse;3.6;6;SemiAuto-6;2WD;Gasoline;2016
BUICK;Lacrosse;3.6;6;SemiAuto-6;4WD;Ethanol/Gas;2016
BUICK;Regal;2;4;Man-6;2WD;Gasoline;2016
BUICK;Regal;2;4;SemiAuto-6;2WD;Gasoline;2016
BUICK;Regal;2;4;SemiAuto-6;4WD;Gasoline;2016
BUICK;Regal;2.4;4;SemiAuto-6;2WD;Gasoline;2016
BUICK;Verano;2;4;Man-6;2WD;Gasoline;2016
BUICK;Verano;2;4;SemiAuto-6;2WD;Gasoline;2016
BUICK;Verano;2.4;4;SemiAuto-6;2WD;Gasoline;2016
BYD;e6;N/A;N/A;Auto-1;2WD;Electricity;2016
CADILLAC;ATS;2;4;Man-6;2WD;Gasoline;2016
CADILLAC;ATS;2;4;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;ATS;2;4;SemiAuto-8;4WD;Gasoline;2016
CADILLAC;ATS;2.5;4;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;ATS;3.6;6;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;ATS;3.6;6;SemiAuto-8;4WD;Gasoline;2016
CADILLAC;ATS-V;3.6;6;Man-6;2WD;Gasoline;2016
CADILLAC;ATS-V;3.6;6;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;CT6;2;4;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;CT6;3;6;SemiAuto-8;4WD;Gasoline;2016
CADILLAC;CT6;3.6;6;SemiAuto-8;4WD;Gasoline;2016
CADILLAC;CTS;2;4;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;CTS;2;4;SemiAuto-8;4WD;Gasoline;2016
CADILLAC;CTS;3.6;6;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;CTS;3.6;6;SemiAuto-8;4WD;Gasoline;2016
CADILLAC;CTS-V;6.2;8;SemiAuto-8;2WD;Gasoline;2016
CADILLAC;ELR;1.4;4;CVT;2WD;Gasoline/Electricity;2016
CADILLAC;Escalade;6.2;8;Auto-8;2WD;Gasoline;2016
CADILLAC;Escalade;6.2;8;Auto-8;4WD;Gasoline;2016
CADILLAC;SRX;3.6;6;SemiAuto-6;2WD;Gasoline;2016
CADILLAC;SRX;3.6;6;SemiAuto-6;4WD;Gasoline;2016
CADILLAC;XTS;3.6;6;SemiAuto-6;2WD;Gasoline;2016
CADILLAC;XTS;3.6;6;SemiAuto-6;4WD;Gasoline;2016
CADILLAC;XTS Limo;3.6;6;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Camaro;2;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Camaro;2;4;SemiAuto-8;2WD;Gasoline;2016
CHEVROLET;Camaro;3.6;6;Man-6;2WD;Gasoline;2016
CHEVROLET;Camaro;3.6;6;SemiAuto-8;2WD;Gasoline;2016
CHEVROLET;Camaro;6.2;8;Man-6;2WD;Gasoline;2016
CHEVROLET;Camaro;6.2;8;SemiAuto-8;2WD;Gasoline;2016
CHEVROLET;City Express;2;4;CVT;2WD;Gasoline;2016
CHEVROLET;Colorado;2.5;4;Auto-6;2WD;Gasoline;2016
CHEVROLET;Colorado;2.5;4;Auto-6;4WD;Gasoline;2016
CHEVROLET;Colorado;2.5;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Colorado;2.8;4;Auto-6;2WD;Diesel;2016
CHEVROLET;Colorado;2.8;4;Auto-6;4WD;Diesel;2016
CHEVROLET;Colorado;3.6;6;Auto-6;2WD;Gasoline;2016
CHEVROLET;Colorado;3.6;6;Auto-6;4WD;Gasoline;2016
CHEVROLET;Corvette;6.2;8;Man-7;2WD;Gasoline;2016
CHEVROLET;Corvette;6.2;8;SemiAuto-8;2WD;Gasoline;2016
CHEVROLET;Cruze;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.8;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited;1.8;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited Eco;1.4;4;Auto-6;2WD;Gasoline;2016
CHEVROLET;Cruze Limited Eco;1.4;4;Man-6;2WD;Gasoline;2016
CHEVROLET;Cruze Premier;1.4;4;SemiAuto-6;2WD;Gasoline;2016
CHEVROLET;Equinox;2.4;4;Auto-6;2WD;Ethanol/Gas;2016
CHEVROLET;Equinox;2.4;4;Auto-6;2WD;Gasoline;2016
CHEVROLET;Equinox;2.4;4;Auto-6;4WD;Ethanol/Gas;2016
CHEVROLET;Equinox;2.4;4;Auto-6;4WD;Gasoline;2016
CHEVROLET;Equinox;3.6;6;Auto-6;2WD;Gasoline;2016
CHEVROLET;Equinox;3.6;6;Auto-6;4WD;Gasoline;2016
